国道４号線沿い,〒029-4102,岩手県西磐井郡平泉町平泉字泉屋61-7,38.9883511,141.1172381
ヒメカユウ,〒023-0001,岩手県奥州市胆沢区若柳,39.12598699999999,140.9868997
焼石岳,〒023-0403,岩手県奥州市胆沢区若柳,39.12598699999999,140.9868997
牛の博物館,〒029-4205,岩手県奥州市前沢区南陣場103-1,39.0269967,141.1239803
金ケ崎温泉 駒子の湯,〒029-4503,岩手県胆沢郡金ケ崎町西根和光544番地1,39.18854169999999,141.0036673
ホテルみどりの郷スケート場,〒029-4505,岩手県胆沢郡金ケ崎町永栄上宿26-3,39.1764603,141.0899223
鳥海柵,〒029-4503,岩手県胆沢郡金ケ崎町西根原添下鳥海二宮後,39.1974003,141.1177795
武家屋敷城内諏訪小路（重要伝統的建造物群保存地区）,〒029-4503,岩手県胆沢郡金ケ崎町西根城内・諏訪小路地区,39.1974003,141.1177795
和賀岳,〒029-5614,岩手県和賀郡西和賀町内,39.2981272,140.8451002
巣郷温泉,〒029-5522,岩手県和賀郡西和賀町巣郷,39.2796591,140.7224209
湯川温泉,〒029-5514,岩手県和賀郡西和賀町湯川,39.2853293,140.7706763
湯本温泉,〒029-5505,岩手県和賀郡西和賀町湯本,39.343965,140.7724246
峠山パークランドオアシス館,〒029-5513,岩手県和賀郡西和賀町本内４６-１２５-１０６,39.2981272,140.8451002
兜跋毘沙門天立像,〒028-0116,岩手県花巻市東和町北成島5-1,39.3635051,141.2014001
南部杜氏伝承館,〒028-3171,岩手県花巻市石鳥谷町中寺林7-17-2,39.4833483,141.1418092
南部杜氏の里公園,〒028-3171,岩手県花巻市石鳥谷町中寺林,39.48623120000001,141.1399259
ガラス体験工房森のくに,〒028-3203,岩手県花巻市大迫町大迫12-45-1,39.4741915,141.28197
徳丹城跡,〒028-3603,岩手県紫波郡矢巾町大字西徳田,39.6114751,141.1672753
幣懸の滝,〒028-3623,岩手県紫波郡矢巾町煙山地内,39.6194378,141.080686
野村胡堂・あらえびす記念館,〒028-3315,岩手県紫波郡紫波町彦部字暮坪193-1,39.5309885,141.1925447
紫波フルーツパーク体験工房,〒028-3535,岩手県紫波郡紫波町遠山字松原1-11,39.5533579,141.2043065
紫波ぶどう園,〒028-3316,岩手県紫波郡紫波町佐比内字飯豊田59-1,39.4900024,141.2316538
紫波城山公園,〒028-3304,岩手県紫波郡紫波町二日町字古舘,39.5608645,141.1743595
赤石神社,〒028-3307,岩手県紫波郡紫波町桜町字本町川原1,39.5475941,141.1744488
石川啄木記念館,〒028-4132,岩手県盛岡市玉山区渋民字渋民9,39.8460511,141.1711752
盛岡市外山森林公園,〒028-2711,岩手県盛岡市玉山区薮川字大の平31-1,39.77500209999999,141.2790527
岩洞湖家族旅行村キャンプ場・オートキャンプ場,〒028-2711,岩手県盛岡市玉山区藪川字亀橋33-4,39.82892500000001,141.3450962
岩洞湖,〒028-2711,岩手県盛岡市玉山区薮川字亀橋,39.82892500000001,141.3450962
イーハトーブ火山局,〒028-7302,岩手県八幡平市松尾寄木2-515,39.929267,141.0027745
岩手県県民の森森林ふれあい学習館フォレストｉ（アイ）,〒028-7302,岩手県八幡平市松尾寄木1-515-5,39.8955256,140.9651412
松尾八幡平ビジターセンター,〒028-7303,岩手県八幡平市柏台1-28,39.9188259,140.9772335
妻の神広場キャンプ場,〒028-7302,岩手県八幡平市松尾寄木,39.904758,140.9746203
茶臼岳展望台,〒028-7111,岩手県八幡平市,39.9263614,141.0953354
松川玄武岩,〒028-7302,岩手県八幡平市,39.9263614,141.0953354
七滝,〒028-7111,岩手県八幡平市,39.9263614,141.0953354
松川渓谷,〒028-7302,岩手県八幡平市,39.9263614,141.0953354
御釜湖,〒028-7111,岩手県八幡平市,39.9263614,141.0953354
茶臼岳,〒028-7111,岩手県八幡平市,39.9263614,141.0953354
滝沢相の沢温泉お山の湯,〒020-0172,岩手県滝沢市鵜飼字安達114-3,39.8020681,141.0077075
馬っこパーク・いわて,〒020-0173,岩手県滝沢市滝沢字砂込389-18,39.8094354,141.1220023
鞍掛山,〒020-0172,岩手県滝沢市鵜飼字安達,39.7705198,141.029645
岩手山,〒020-0173,岩手県岩手郡滝沢村滝沢字岩手山,39.947569,141.3054825
焼走り温泉,〒028-7113,岩手県八幡平市平笠24-728,39.8747576,141.0415119
焼走り熔岩流観察路,〒028-7100,岩手県八幡平市,39.9263614,141.0953354
岩手山（南部片富士）,〒028-7113,岩手県八幡平市,39.9263614,141.0953354
石神の丘美術館,〒028-4307,岩手県岩手郡岩手町五日市10-121-21,39.9681785,141.2140964
岩手沼宮内カントリークラブ,〒028-4421,岩手県岩手郡岩手町一方井,39.9700111,141.1680162
岩手町彫刻公園,〒028-4395,岩手県岩手郡岩手町五日市10-44,39.9727676,141.2121663
