新鉛温泉 愛隣館,7369850,39.469612,140.988514,日本, 〒025-0252 岩手県花巻市鉛西鉛２３,
金谷神社,231387826,39.434535734,141.081962585,日本, 〒025-0321 岩手県花巻市金矢第３地割１,
松山寺,52579270,39.444217749,141.074752808,日本, 〒025-0305 岩手県花巻市台第３地割７２,
とんかつラーメン いこい,70023909,39.425365772,141.078564116,日本, 〒025-0321 岩手県花巻市金矢第７地割５０,
岩手県立総合教育センター,122411656,39.464890581,141.087380648,日本, 〒025-0301 岩手県花巻市北湯口第２地割８２−１,
紫波SA (下り),7236083,39.514747671,141.100974083,日本, 〒028-3452 岩手県紫波郡紫波町片寄後在所 東北自動車道,
紫波SA (上り),2601988,39.515041499,141.10362947,日本, 〒028-3452 岩手県紫波郡紫波町片寄堤下７,
志戸平温泉 湯の社 ホテル志戸平,2584586,39.417514876,141.013120403,日本, 〒025-0244 岩手県花巻市湯口志戸平 県道12号線,
花巻温泉,283604,39.45173866,141.070156304,日本, 〒025-0304 岩手県花巻市湯本第１地割１２５−２５－１,
鉛温泉スキー場,127209,39.463000788,140.993329226,日本, 〒025-0252 岩手県花巻市鉛中平３６,
志和稲荷神社,7302953,39.558985897,141.077799797,日本, 〒028-3442 岩手県紫波郡紫波町升沢前平１７,
鉛温泉 藤三旅館,3752634,39.465776836,140.991486311,日本, 〒025-0252 岩手県花巻市鉛中平７５,
大沢温泉,1067514,39.435465569,141.015670393,日本, 〒025-0244 岩手県花巻市湯口大沢 県道12号線,
花巻温泉 ホテル 紅葉館,7493730,39.45275556,141.068295346,第１地割 湯本 花巻市 岩手県 025-0392 日本,
ローソン 花巻インター二枚橋店,87571758,39.44162855,141.1157691,日本, 〒025-0312 岩手県花巻市二枚橋第３地割１３０,
精華の湯,6423657,39.454867285,141.0561983,日本, 〒025-0305 岩手県花巻市台 県道123号線,
セブンイレブン 花巻北湯口店,165727212,39.461146648,141.101896763,日本, 〒025-0301 岩手県花巻市北湯口第１１地割６４８,
花巻市交流会館,7490904,39.426705489,141.130860224,日本, 〒025-0002 岩手県花巻市 奥州街道(陸羽街道),
石鳥谷こ線橋,4246201,39.471582773,141.14082098,日本, 〒028-3171 岩手県花巻市石鳥谷町中寺林第３地割 奥州街道(陸羽街道),
大沢温泉 山水閣,558733,39.43598538,141.016284717,日本, 〒025-0244 岩手県花巻市湯口大沢１８１,
渡り温泉,4357438,39.424784955,141.015665677,日本, 〒025-0244 岩手県花巻市湯口佐野２１,
